Dye,Rxn Time (min),Removal %,Full_Name,SMILES,Labute_ASA,LogP,HBD,HBA,Aromatic_Rings,Rotatable_Bonds,Fraction_Csp3
BBR,5,0.255740415,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
BBR,10,0.413488947,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
BBR,15,0.509526436,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
BBR,20,0.580584613,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
BBR,25,0.632134495,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
BBG,0,0.0,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
BBG,5,0.257980938,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
BBG,10,0.410838867,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
BBG,15,0.516512337,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
BBG,20,0.590032754,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
